"filename", "language", "Python", "CSS", "JavaScript", "HTML", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\joshu\OneDrive\Desktop\simplycomply\app.py", "Python", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\__init__.py", "Python", 45, 0, 0, 0, 0, 0, 15, 20, 80
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\const.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\extensions.py", "Python", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\functions.py", "Python", 45, 0, 0, 0, 0, 0, 3, 6, 54
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\models.py", "Python", 98, 0, 0, 0, 0, 0, 6, 18, 122
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\index.js", "JavaScript", 0, 0, 39, 0, 0, 0, 6, 7, 52
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\static\styles.css", "CSS", 0, 13, 0, 0, 0, 0, 2, 2, 17
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_category.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_restaurant.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\add_user.html", "HTML", 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\admin_panel.html", "HTML", 0, 0, 0, 73, 0, 0, 2, 7, 82
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\admin\edit_user.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 4, 50
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\base.html", "HTML", 0, 0, 0, 81, 0, 0, 1, 2, 84
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\confirm_mail.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\create_restaurant.html", "HTML", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\dashboard.html", "HTML", 0, 0, 0, 30, 0, 0, 2, 3, 35
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\banner.html", "HTML", 0, 0, 0, 15, 0, 0, 1, 2, 18
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\generate_report.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\nav.html", "HTML", 0, 0, 0, 104, 0, 0, 0, 1, 105
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\index.html", "HTML", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\login.html", "HTML", 0, 0, 0, 52, 0, 0, 4, 4, 60
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\pricing.html", "HTML", 0, 0, 0, 79, 0, 0, 3, 4, 86
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\profile.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\register.html", "HTML", 0, 0, 0, 49, 0, 0, 7, 6, 62
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\templates.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\upload.html", "HTML", 0, 0, 0, 47, 0, 0, 0, 0, 47
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\admin.py", "Python", 94, 0, 0, 0, 0, 0, 15, 21, 130
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\auth.py", "Python", 69, 0, 0, 0, 0, 0, 5, 16, 90
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\views.py", "Python", 199, 0, 0, 0, 0, 0, 31, 61, 291
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 0, 38, 0, 13, 51
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\env.py", "Python", 66, 0, 0, 0, 0, 0, 17, 31, 114
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\7a83f383a863_.py", "Python", 37, 0, 0, 0, 0, 0, 5, 11, 53
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\d6b90f2b4da0_.py", "Python", 26, 0, 0, 0, 0, 0, 5, 9, 40
"c:\Users\joshu\OneDrive\Desktop\simplycomply\requirements.txt", "pip requirements", 0, 0, 0, 0, 27, 0, 0, 1, 28
"Total", "-", 699, 13, 39, 777, 27, 38, 130, 275, 1998